draft_year,pick,player,Rd,Tm,College,ws_career,ws_first4,n_seasons_first4,first_season,pos,age_at_draft,matched
2000,1,Kenyon Martin,1,NJN,Cincinnati,48.0,20.8,4,2001.0,PF,23.0,True
2000,2,Stromile Swift,1,VAN,LSU,21.3,13.7,4,2001.0,PF,21.0,True
2000,3,Darius Miles,1,LAC,,9.5,8.7,4,2001.0,SF,19.0,True
2000,4,Marcus Fizer,1,CHI,Iowa State,2.7,2.3,4,2001.0,PF,22.0,True
2000,5,Mike Miller,1,ORL,Florida,60.7,17.7,4,2001.0,SF,20.0,True
2000,6,DerMarr Johnson,1,ATL,Cincinnati,6.4,2.1,3,2001.0,SF,20.0,True
2000,7,Chris Mihm,1,CHI,Texas,13.3,5.8,4,2001.0,C,21.0,True
2000,8,Jamal Crawford,1,CLE,Michigan,60.7,6.6,4,2001.0,PG,20.0,True
2000,9,Joel Przybilla,1,HOU,Minnesota,23.0,2.7,4,2001.0,C,21.0,True
2000,10,Keyon Dooling,1,ORL,Missouri,18.5,2.0,4,2001.0,PG,20.0,True
2000,11,Jérôme Moïso,1,BOS,UCLA,2.1,1.9000000000000001,4,2001.0,C,22.0,True
2000,12,Etan Thomas,1,DAL,Syracuse,14.9,7.4,3,2002.0,C,22.0,True
2000,13,Courtney Alexander,1,ORL,Fresno State,4.1,4.1,3,2001.0,PG,23.0,True
2000,14,Mateen Cleaves,1,DET,Michigan State,-0.8,-0.8,4,2001.0,PG,23.0,True
2000,15,Jason Collier,1,MIL,Georgia Tech,1.9,1.9,4,2001.0,C,23.0,True
2000,16,Hedo Türkoğlu,1,SAC,,63.3,17.3,4,2001.0,SF,21.0,True
2000,17,Desmond Mason,1,SEA,Oklahoma State,23.1,17.3,4,2001.0,SF,23.0,True
2000,18,Quentin Richardson,1,LAC,DePaul,32.8,12.0,4,2001.0,SG,20.0,True
2000,19,Jamaal Magloire,1,CHH,Kentucky,27.7,22.6,4,2001.0,C,22.0,True
2000,20,Speedy Claxton,1,PHI,Hofstra,14.2,8.2,3,2002.0,PG,22.0,True
2000,21,Morris Peterson,1,TOR,Michigan State,35.7,16.6,4,2001.0,SG,23.0,True
2000,22,Donnell Harvey,1,NYK,Florida,4.7,4.6000000000000005,4,2001.0,PF,20.0,True
2000,23,DeShawn Stevenson,1,UTA,,12.1,0.7999999999999999,4,2001.0,SG,19.0,True
2000,24,Dalibor Bagarić,1,CHI,,-0.9,-0.8999999999999999,3,2001.0,C,20.0,True
2000,25,Jake Tsakalidis,1,PHO,,9.9,6.199999999999999,4,2001.0,C,21.0,True
2000,26,Mamadou N'Diaye,1,DEN,Auburn,1.8,1.7000000000000002,4,2001.0,C,25.0,True
2000,27,Primož Brezec,1,IND,,10.8,0.5,3,2002.0,C,21.0,True
2000,28,Erick Barkley,1,POR,St. John's,0.2,0.1,2,2001.0,PG,22.0,True
2000,29,Mark Madsen,1,LAL,Stanford,8.2,6.800000000000001,4,2001.0,PF,25.0,True
2000,30,Marko Jarić,3,LAC,,12.1,3.4,2,2003.0,SF,22.0,True
2000,31,Dan Langhi,3,DAL,Vanderbilt,0.3,0.20000000000000004,4,2001.0,SF,23.0,True
