pick,median,q25,q75,n,expected_ws4,band_low,band_high
1,20.8,12.5,30.0,21,15.4,11.5,27.7
2,9.6,7.4,15.9,21,14.0,9.45,23.0
3,15.4,11.5,27.7,21,13.5,7.4,18.3
4,12.6,5.4,18.3,21,12.6,5.4,17.7
5,13.5,5.0,17.7,21,12.6,5.4,17.7
6,10.9,4.0,17.3,21,11.6,5.0,17.3
7,11.6,8.7,16.2,21,10.9,5.0,16.2
8,6.6,3.3,9.7,21,9.1,4.0,16.2
9,9.1,5.1,15.1,21,7.8,3.3,15.1
10,7.8,2.9,16.7,21,7.8,3.3,14.4
11,7.699999999999999,2.6,14.4,21,7.8,2.9,14.4
12,7.800000000000001,5.2,12.7,21,7.7,2.9,12.8
13,5.3,1.4,12.8,21,7.699999999999999,2.6,12.7
14,7.7,3.6,11.4,21,5.3,2.5,11.4
15,5.3,2.5,8.7,21,5.3,1.7000000000000002,11.4
16,4.5,1.1,8.7,21,5.3,1.9,11.4
17,3.4,1.7000000000000002,12.8,21,5.3,1.9,12.0
18,5.3,1.9,12.0,21,5.3,1.9,12.0
19,8.299999999999999,4.0,13.4,21,6.7,1.9,12.8
20,6.7,3.1,9.4,21,6.7,1.9,13.3
21,8.100000000000001,1.3,16.6,21,6.7,2.9000000000000004,13.3
22,4.6000000000000005,0.6,13.3,21,5.7,1.3,11.6
23,5.7,2.9000000000000004,10.2,21,4.6000000000000005,0.7999999999999999,11.6
24,4.4,0.7999999999999999,11.6,21,4.6000000000000005,0.7999999999999999,11.6
25,3.7,0.4,5.9,21,5.199999999999999,1.7000000000000002,11.6
26,8.399999999999999,1.7000000000000002,11.6,21,4.4,0.7999999999999999,11.6
27,5.199999999999999,1.9,12.6,21,3.7,0.6499999999999999,7.8
28,3.2,0.2,7.8,21,4.0,0.6499999999999999,11.3
29,2.8,0.6499999999999999,7.5,19,3.2,0.2,7.8
30,4.0,0.0,11.3,21,2.8,0.2,7.5
31,2.3,0.2,5.1,21,2.3,0.2,6.3
32,0.4,0.0,2.1,21,1.0,0.0,5.1
33,1.0,0.2,6.3,21,0.8,0.0,5.1
34,0.8,0.0,4.6,21,0.8,0.0,5.2
35,0.0,-0.0999999999999999,7.8,21,1.0,0.0,6.3
36,1.0,0.0,5.2,21,1.0,0.0,6.9
37,1.2999999999999998,0.0,6.9,21,1.0,0.0,6.9
38,3.7,0.5,8.7,21,1.0,0.0,5.2
39,0.1999999999999999,0.0,1.8,21,0.9,0.0,5.0
40,0.9,0.0,4.9,21,0.5,0.0,5.0
41,0.3,0.0,5.0,21,0.3,0.0,4.9
42,0.5,0.0,10.3,21,0.3,0.0,4.9
43,0.3,0.0,4.9,21,0.3,0.0,4.9
44,0.2,0.0,2.9,21,0.3,0.0,4.1000000000000005
45,2.1,0.2,4.1,21,0.3,0.0,4.1
46,0.3,0.0,4.1000000000000005,21,0.3,0.0,2.9
47,0.5,0.0,2.5,21,0.3,0.0,4.1
48,0.1,0.0,1.1,21,0.1,0.0,2.8
49,0.0,0.0,4.1,21,0.0,0.0,2.5
50,0.0,0.0,2.8,21,0.0,0.0,1.1
51,0.0,0.0,0.0,21,0.0,0.0,0.8
52,0.0,0.0,0.8,21,0.0,0.0,0.6
53,0.0,0.0,0.6,21,0.0,0.0,0.2
54,0.0,0.0,0.0,21,0.0,0.0,0.2
55,0.0,0.0,0.2,21,0.0,0.0,0.1
56,0.0,0.0,0.1,21,0.0,0.0,0.1
57,0.0,0.0,0.0,21,0.0,0.0,0.1
58,0.0,0.0,0.3,21,0.0,0.0,0.1
59,0.0,0.0,0.0,17,0.0,0.0,0.15
60,0.0,0.0,1.125,16,0.0,0.0,0.3
