draft_year,pick,player,season,season_index,ws
2000,6,DerMarr Johnson,2001.0,1.0,0.0
2000,18,Quentin Richardson,2001.0,1.0,3.0
2000,23,DeShawn Stevenson,2001.0,1.0,-0.4
2000,5,Mike Miller,2001.0,1.0,5.3
2000,26,Mamadou N'Diaye,2001.0,1.0,0.0
2000,1,Kenyon Martin,2001.0,1.0,2.1
2000,25,Jake Tsakalidis,2001.0,1.0,1.3
2000,24,Dalibor Bagarić,2001.0,1.0,-0.7
2000,28,Erick Barkley,2001.0,1.0,-0.1
2000,29,Mark Madsen,2001.0,1.0,1.1
2000,32,A.J. Guyton,2001.0,1.0,0.3
2000,31,Dan Langhi,2001.0,1.0,-0.1
2000,7,Chris Mihm,2001.0,1.0,1.3
2000,8,Jamal Crawford,2001.0,1.0,-0.9
2000,10,Keyon Dooling,2001.0,1.0,1.4
2000,9,Joel Przybilla,2001.0,1.0,0.1
2000,34,Khalid El-Amin,2001.0,1.0,0.6
2000,13,Courtney Alexander,2001.0,1.0,0.8
2000,40,Hanno Möttölä,2001.0,1.0,0.4
2000,39,Lavor Postell,2001.0,1.0,-0.1
2000,42,Olumide Oyedeji,2001.0,1.0,0.4
2000,43,Michael Redd,2001.0,1.0,-0.1
2000,11,Jérôme Moïso,2001.0,1.0,-0.3
2000,38,Eduardo Nájera,2001.0,1.0,1.1
2000,15,Jason Collier,2001.0,1.0,0.0
2000,35,Mike Smith,2001.0,1.0,-0.1
2000,36,Soumaila Samake,2001.0,1.0,0.1
2000,37,Eddie House,2001.0,1.0,0.4
2000,14,Mateen Cleaves,2001.0,1.0,-0.1
2000,33,Jake Voskuhl,2001.0,1.0,0.0
2000,55,Chris Porter,2001.0,1.0,0.2
2000,44,Brian Cardinal,2001.0,1.0,0.0
2000,3,Darius Miles,2001.0,1.0,3.0
2000,22,Donnell Harvey,2001.0,1.0,0.1
2000,17,Desmond Mason,2001.0,1.0,1.7
2000,53,Dan McClintock,2001.0,1.0,0.0
2000,21,Morris Peterson,2001.0,1.0,3.6
2000,16,Hedo Türkoğlu,2001.0,1.0,2.8
2000,19,Jamaal Magloire,2001.0,1.0,2.6
2000,2,Stromile Swift,2001.0,1.0,1.9
2000,45,Jabari Smith,2001.0,1.0,0.2
2000,49,Jason Hart,2001.0,1.0,0.0
2000,4,Marcus Fizer,2001.0,1.0,-0.7
2000,28,Erick Barkley,2002.0,2.0,0.2
2000,32,A.J. Guyton,2002.0,2.0,0.1
2000,31,Dan Langhi,2002.0,2.0,0.0
2000,26,Mamadou N'Diaye,2002.0,2.0,0.3
2000,29,Mark Madsen,2002.0,2.0,1.9
2000,38,Eduardo Nájera,2002.0,2.0,4.0
2000,37,Eddie House,2002.0,2.0,0.9
2000,15,Jason Collier,2002.0,2.0,0.4
2000,33,Jake Voskuhl,2002.0,2.0,2.7
2000,6,DerMarr Johnson,2002.0,2.0,1.7
2000,10,Keyon Dooling,2002.0,2.0,0.0
2000,7,Chris Mihm,2002.0,2.0,0.7
2000,8,Jamal Crawford,2002.0,2.0,0.6
2000,1,Kenyon Martin,2002.0,2.0,4.9
2000,18,Quentin Richardson,2002.0,2.0,5.6
2000,17,Desmond Mason,2002.0,2.0,4.7
2000,5,Mike Miller,2002.0,2.0,4.5
2000,25,Jake Tsakalidis,2002.0,2.0,2.8
2000,24,Dalibor Bagarić,2002.0,2.0,-0.1
2000,27,Primož Brezec,2002.0,2.0,0.3
2000,9,Joel Przybilla,2002.0,2.0,1.9
2000,42,Olumide Oyedeji,2002.0,2.0,0.4
2000,40,Hanno Möttölä,2002.0,2.0,0.5
2001,57,Alvin Jones,2002.0,1.0,0.1
2000,39,Lavor Postell,2002.0,2.0,-0.1
2001,50,Ruben Boumtje-Boumtje,2002.0,1.0,0.2
2001,51,Alton Ford,2002.0,1.0,0.8
2001,53,Jarron Collins,2002.0,1.0,3.3
2001,54,Kenny Satterfield,2002.0,1.0,-0.2
2000,13,Courtney Alexander,2002.0,2.0,2.2
2000,12,Etan Thomas,2002.0,2.0,1.6
2000,11,Jérôme Moïso,2002.0,2.0,-0.1
2000,14,Mateen Cleaves,2002.0,2.0,-0.3
2001,48,Antonis Fotsis,2002.0,1.0,0.1
2000,43,Michael Redd,2002.0,2.0,4.6
2000,44,Brian Cardinal,2002.0,2.0,0.2
2000,45,Jabari Smith,2002.0,2.0,0.5
2001,37,Damone Brown,2002.0,1.0,-0.1
2001,40,Earl Watson,2002.0,1.0,1.5
2001,30,Trenton Hassell,2002.0,1.0,1.5
2001,31,Gilbert Arenas,2002.0,1.0,2.7
2001,33,Will Solomon,2002.0,1.0,-0.5
2001,34,Terence Morris,2002.0,1.0,0.2
2001,35,Brian Scalabrine,2002.0,1.0,-0.1
2001,2,Tyson Chandler,2002.0,1.0,1.8
2001,3,Pau Gasol,2002.0,1.0,7.6
2001,46,Loren Woods,2002.0,1.0,0.5
2001,42,Bobby Simmons,2002.0,1.0,0.7
2001,41,Jamison Brewer,2002.0,1.0,0.0
