Year,Rd,Pk,Tm,Player,College,Yrs,WS,WS/48
2000,1,1,NJN,Kenyon Martin,Cincinnati,15,48.0,.100
2000,1,2,VAN,Stromile Swift,LSU,9,21.3,.095
2000,1,3,LAC,Darius Miles,,7,9.5,.039
2000,1,4,CHI,Marcus Fizer,Iowa State,6,2.7,.022
2000,1,5,ORL,Mike Miller,Florida,17,60.7,.105
2000,1,6,ATL,DerMarr Johnson,Cincinnati,7,6.4,.052
2000,1,7,CHI,Chris Mihm,Texas,8,13.3,.073
2000,1,8,CLE,Jamal Crawford,Michigan,20,60.7,.075
2000,1,9,HOU,Joel Przybilla,Minnesota,13,23.0,.094
2000,1,10,ORL,Keyon Dooling,Missouri,13,18.5,.063
2000,1,11,BOS,Jérôme Moïso,UCLA,5,2.1,.074
2000,1,12,DAL,Etan Thomas,Syracuse,9,14.9,.101
2000,1,13,ORL,Courtney Alexander,Fresno State,3,4.1,.048
2000,1,14,DET,Mateen Cleaves,Michigan State,6,-0.8,-.021
2000,1,15,MIL,Jason Collier,Georgia Tech,5,1.9,.042
2000,1,16,SAC,Hedo Türkoğlu,,15,63.3,.114
2000,1,17,SEA,Desmond Mason,Oklahoma State,10,23.1,.056
2000,1,18,LAC,Quentin Richardson,DePaul,13,32.8,.076
2000,1,19,CHH,Jamaal Magloire,Kentucky,12,27.7,.091
2000,1,20,PHI,Speedy Claxton,Hofstra,7,14.2,.080
2000,1,21,TOR,Morris Peterson,Michigan State,11,35.7,.089
2000,1,22,NYK,Donnell Harvey,Florida,5,4.7,.069
2000,1,23,UTA,DeShawn Stevenson,,13,12.1,.032
2000,1,24,CHI,Dalibor Bagarić,,3,-0.9,-.043
2000,1,25,PHO,Jake Tsakalidis,,7,9.9,.095
2000,1,26,DEN,Mamadou N'Diaye,Auburn,5,1.8,.101
2000,1,27,IND,Primož Brezec,,8,10.8,.084
2000,1,28,POR,Erick Barkley,St. John's,2,0.2,.027
2000,1,29,LAL,Mark Madsen,Stanford,9,8.2,.074
2000,3,30,LAC,Marko Jarić,,7,12.1,.052
2000,3,31,DAL,Dan Langhi,Vanderbilt,4,0.3,.012
2000,3,32,CHI,A.J. Guyton,Indiana,3,0.3,.010
2000,3,33,CHI,Jake Voskuhl,UConn,9,11.6,.087
2000,3,34,CHI,Khalid El-Amin,UConn,1,0.6,.030
2000,3,35,WAS,Mike Smith,Louisiana-Monroe,1,-0.1,-.033
2000,3,36,NJN,Soumaila Samake,,2,0.3,.046
2000,3,37,MIA,Eddie House,Arizona State,11,20.0,.077
2000,3,38,HOU,Eduardo Nájera,Oklahoma,12,24.7,.106
2000,3,39,NYK,Lavor Postell,St. John's,3,-0.2,-.025
2000,3,40,ATL,Hanno Möttölä,Utah,2,0.9,.019
2000,3,41,SAS,Chris Carrawell,Duke,,,
2000,3,42,SEA,Olumide Oyedeji,,3,1.2,.095
2000,3,43,MIL,Michael Redd,Ohio State,12,55.9,.134
2000,3,44,DET,Brian Cardinal,Purdue,12,15.4,.114
2000,3,45,SAC,Jabari Smith,LSU,4,1.3,.058
2000,3,46,TOR,DeeAndre Hulett,College of the Sequoias,,,
2000,3,47,SEA,Josip Sesar,,,,
2000,3,48,PHI,Mark Karcher,Temple,,,
2000,3,49,MIL,Jason Hart,Syracuse,9,8.6,.078
2000,3,50,UTA,Kaniel Dickens,Idaho,3,0.1,.055
2000,3,51,MIN,Igor Rakočević,,1,0.1,.022
2000,3,52,MIA,Ernest Brown,Indian Hills Community College,1,-0.2,-.349
2000,3,53,DEN,Dan McClintock,Northern Arizona University,1,0.0,.007
2000,3,54,SAS,Cory Hightower,Indian Hills Community College,,,
2000,3,55,GSW,Chris Porter,Auburn,1,0.2,.008
2000,3,56,IND,Jaquay Walls,Colorado,,,
2000,3,57,ATL,Scoonie Penn,Ohio State,,,
2000,3,58,DAL,Pete Mickeal,Cincinnati,,,
2001,1,1,WAS,Kwame Brown,,12,20.8,.074
2001,1,2,LAC,Tyson Chandler,,19,102.1,.155
2001,1,3,ATL,Pau Gasol,,18,144.1,.169
2001,1,4,CHI,Eddy Curry,,11,21.7,.080
2001,1,5,GSW,Jason Richardson,Michigan State,13,59.1,.097
2001,1,6,MEM,Shane Battier,Duke,13,75.7,.121
2001,1,7,NJN,Eddie Griffin,Seton Hall,5,10.9,.078
2001,1,8,CLE,DeSagana Diop,,12,12.8,.073
2001,1,9,DET,Rodney White,UNC Charlotte,4,1.8,.026
2001,1,10,BOS,Joe Johnson,Arkansas,18,82.9,.090
2001,1,11,BOS,Kedrick Brown,Okaloosa-Walton Community College,4,3.0,.074
2001,1,12,SEA,Vladimir Radmanović,,12,26.5,.079
2001,1,13,HOU,Richard Jefferson,Arizona,17,83.0,.116
2001,1,14,GSW,Troy Murphy,Notre Dame,12,50.3,.121
2001,1,15,ORL,Steven Hunter,DePaul,8,10.6,.085
2001,1,16,CHH,Kirk Haston,Indiana,2,-0.5,-.197
2001,1,17,TOR,Michael Bradley,Villanova,5,2.0,.047
2001,1,18,HOU,Jason Collins,Stanford,13,20.1,.064
2001,1,19,POR,Zach Randolph,Michigan State,17,81.1,.112
2001,1,20,CLE,Brendan Haywood,UNC,13,43.8,.113
2001,1,21,BOS,Joseph Forte,UNC,2,-0.4,-.166
2001,1,22,ORL,Jeryl Sasser,SMU,2,0.7,.032
2001,1,23,HOU,Brandon Armstrong,Pepperdine,3,-0.6,-.039
2001,1,24,UTA,Raül López,,2,2.1,.047
2001,1,25,SAC,Gerald Wallace,Alabama,14,59.7,.116
2001,1,26,PHI,Samuel Dalembert,Seton Hall,13,51.3,.114
2001,1,27,MEM,Jamaal Tinsley,Iowa State,11,17.2,.057
2001,1,28,SAS,Tony Parker,,18,111.3,.140
2001,4,30,CHI,Trenton Hassell,Austin Peay State University,9,13.8,.041
2001,4,31,GSW,Gilbert Arenas,Arizona,11,51.3,.127
2001,4,32,ORL,Omar Cook,St. John's,2,-0.1,-.021
2001,4,33,MEM,Will Solomon,Clemson,2,0.0,.000
2001,4,34,ATL,Terence Morris,Maryland,3,1.0,.025
2001,4,35,NJN,Brian Scalabrine,USC,11,7.6,.054
2001,4,36,CLE,Jeff Trepagnier,USC,3,-0.2,-.038
2001,4,37,PHI,Damone Brown,Syracuse,4,-0.7,-.100
2001,4,38,DET,Mehmet Okur,,10,54.7,.142
2001,4,39,NYK,Michael Wright,Arizona,,,
2001,4,40,SEA,Earl Watson,UCLA,13,19.2,.047
2001,4,41,IND,Jamison Brewer,Auburn,4,0.0,-.001
2001,4,42,SEA,Bobby Simmons,DePaul,10,20.1,.084
2001,4,43,NYK,Eric Chenowith,Kansas,,,
2001,4,44,DAL,Kyle Hill,Eastern Illinois University,,,
2001,4,45,CHI,Sean Lampley,California,2,1.1,.096
2001,4,46,MIN,Loren Woods,Arizona,6,3.1,.062
2001,4,47,DEN,Ousmane Cisse,,,,
2001,4,48,MEM,Antonis Fotsis,,1,0.1,.017
2001,4,49,MIA,Ken Johnson,Ohio State,1,0.0,-.002
2001,4,50,POR,Ruben Boumtje-Boumtje,Georgetown,3,0.2,.027
2001,4,51,PHO,Alton Ford,Houston,3,0.8,.074
2001,4,52,MIL,Andre Hutson,Michigan State,,,
2001,4,53,UTA,Jarron Collins,Stanford,10,15.7,.088
2001,4,54,DAL,Kenny Satterfield,Cincinnati,2,-1.1,-.051
2001,4,55,SAC,Maurice Jeffers,Saint Louis,,,
2001,4,56,SAS,Robertas Javtokas,,,,
2001,4,57,PHI,Alvin Jones,Georgia Tech,1,0.1,.034
2001,4,58,SAS,Bryan Bracey,Oregon,,,
2002,1,1,HOU,Yao Ming,,8,65.9,.200
2002,1,2,CHI,Jay Williams,Duke,1,0.8,.020
2002,1,3,GSW,Mike Dunleavy,Duke,15,58.5,.103
2002,1,4,MEM,Drew Gooden,Kansas,14,43.9,.105
2002,1,5,DEN,Nikoloz Tskitishvili,,4,-1.6,-.039
2002,1,6,CLE,Dajuan Wagner,Memphis,4,0.0,.000
2002,1,7,NYK,Nenê,,17,73.3,.139
2002,1,8,LAC,Chris Wilcox,Maryland,11,26.9,.103
2002,1,9,PHO,Amar'e Stoudemire,,14,92.5,.169
2002,1,10,MIA,Caron Butler,UConn,14,50.9,.086
2002,1,11,WAS,Jared Jeffries,Indiana,11,13.1,.046
2002,1,12,LAC,Melvin Ely,Fresno State,9,4.0,.032
2002,1,13,MIL,Marcus Haislip,Tennessee,4,0.5,.026
2002,1,14,IND,Fred Jones,Oregon,7,16.5,.077
2002,1,15,HOU,Boštjan Nachbar,,6,8.7,.074
2002,1,16,PHI,Jiří Welsch,,4,5.7,.059
2002,1,17,WAS,Juan Dixon,Maryland,7,6.1,.034
2002,1,18,ORL,Curtis Borchardt,Stanford,2,1.0,.041
2002,1,19,UTA,Ryan Humphrey,Notre Dame,3,-0.4,-.027
2002,1,20,TOR,Kareem Rush,Missouri,7,1.7,.013
2002,1,21,POR,Qyntel Woods,Northeast Mississippi Community College,4,1.4,.032
2002,1,22,PHO,Casey Jacobsen,Stanford,4,6.2,.056
2002,1,23,DET,Tayshaun Prince,Kentucky,14,63.1,.096
2002,1,24,NJN,Nenad Krstić,,7,21.5,.098
2002,1,25,DEN,Frank Williams,Illinois,3,0.1,.003
2002,1,26,SAS,John Salmons,Miami (FL),13,33.9,.069
2002,1,27,LAL,Chris Jefferies,Fresno State,2,-0.5,-.030
2002,1,28,SAC,Dan Dickau,Gonzaga,6,5.9,.061
2002,4,30,GSW,Steve Logan,Cincinnati,,,
2002,4,31,CHI,Roger Mason,Virginia,10,13.0,.068
2002,4,32,MEM,Robert Archibald,Illinois,2,0.0,-.004
2002,4,33,DEN,Vincent Yarbrough,Tennessee,1,1.0,.035
2002,4,34,MIL,Dan Gadzuric,UCLA,10,15.8,.097
2002,4,35,CLE,Carlos Boozer,Duke,13,80.3,.143
2002,4,36,NYK,Milos Vujanic,,,,
2002,4,37,ATL,David Andersen,,2,1.5,.059
2002,4,38,HOU,Tito Maddox,Fresno State,1,0.0,-.011
2002,4,39,WAS,Rod Grizzard,Alabama,,,
2002,4,40,WAS,Juan Carlos Navarro,,1,1.4,.031
2002,4,41,LAC,Mario Kasun,,2,0.8,.069
2002,4,42,MIL,Ronald Murray,Shaw,8,8.5,.037
2002,4,43,POR,Jason Jennings,Arkansas State University,,,
2002,4,44,CHI,Lonny Baxter,Maryland,4,2.9,.075
2002,4,45,PHI,Sam Clancy,USC,,,
2002,4,46,MEM,Matt Barnes,UCLA,14,42.8,.093
2002,4,47,UTA,Jamal Sampson,California,5,1.4,.106
2002,4,48,MIL,Chris Owens,Texas,1,0.0,-.032
2002,4,49,SEA,Peter Fehse,,,,
2002,4,50,BOS,Darius Songaila,Wake Forest,8,15.9,.083
2002,4,51,POR,Federico Kammerichs,,,,
